variant,n,trial,time_ns
functools.lru_cache(128),25,0,19529
functools.lru_cache(128),25,1,10688
functools.lru_cache(128),25,2,7563
functools.lru_cache(128),25,3,15757
functools.lru_cache(128),25,4,7469
functools.lru_cache(128),25,5,10505
functools.lru_cache(128),25,6,10351
functools.lru_cache(128),25,7,10211
functools.lru_cache(128),25,8,7461
functools.lru_cache(128),25,9,10097
functools.lru_cache(128),30,0,12653
functools.lru_cache(128),30,1,11788
functools.lru_cache(128),30,2,11636
functools.lru_cache(128),30,3,9229
functools.lru_cache(128),30,4,14644
functools.lru_cache(128),30,5,8805
functools.lru_cache(128),30,6,11733
functools.lru_cache(128),30,7,11637
functools.lru_cache(128),30,8,11634
functools.lru_cache(128),30,9,14355
functools.lru_cache(128),35,0,11131
functools.lru_cache(128),35,1,15821
functools.lru_cache(128),35,2,13024
functools.lru_cache(128),35,3,10450
functools.lru_cache(128),35,4,13132
functools.lru_cache(128),35,5,16329
functools.lru_cache(128),35,6,10754
functools.lru_cache(128),35,7,13347
functools.lru_cache(128),35,8,15846
functools.lru_cache(128),35,9,10557
functools.lru_cache(128),40,0,18887
functools.lru_cache(128),40,1,15541
functools.lru_cache(128),40,2,17580
functools.lru_cache(128),40,3,12206
functools.lru_cache(128),40,4,17635
functools.lru_cache(128),40,5,20788
functools.lru_cache(128),40,6,12357
functools.lru_cache(128),40,7,12413
functools.lru_cache(128),40,8,14785
functools.lru_cache(128),40,9,19749
